VAL	WHITE-X	WHITE-Y	WHITE-Z	WHITE-LAB50-X	WHITE-LAB50-Y	WHITE-LAB50-Z	RED-X	RED-Y	RED-Z	RED-LAB50-X	RED-LAB50-Y	RED-LAB50-Z	GREEN-X	GREEN-Y	GREEN-Z	GREEN-LAB50-X	GREEN-LAB50-Y	GREEN-LAB50-Z	BLUE-X	BLUE-Y	BLUE-Z	BLUE-LAB50-X	BLUE-LAB50-Y	BLUE-LAB50-Z
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	9.183584	8.169413	20.828671	34.333246	11.387722	-39.628844	3.355308	1.429884	0.169135	12.15518	41.880748	17.763964	1.11541	4.935135	1.162	26.54916	-70.319933	25.058749	3.365635	1.149602	19.167039	10.180256	50.560645	-77.816843
2	30.523033	27.032515	69.730556	59.004411	17.471256	-59.78704	11.673273	4.986249	0.529984	26.695553	63.317157	36.02081	3.623278	16.30551	3.867564	47.372784	-105.684419	37.145849	11.288758	3.8101	64.24812	23.033436	76.355885	-116.714078
3	51.803679	45.885119	118.294021	73.470929	20.824655	-71.275954	20.163147	8.616599	0.832686	35.235379	75.936943	45.113115	6.490232	27.64589	6.666362	59.567464	-122.329794	43.820168	19.257355	6.479789	109.614444	30.592027	91.439047	-139.548318
4	73.286541	64.839786	167.663893	84.40111	23.541641	-80.237378	28.85459	12.339515	1.20462	41.750713	85.514986	50.684858	9.100676	38.984601	9.351765	68.74011	-137.606945	49.307102	27.210892	9.144593	154.865337	36.261208	102.701644	-156.619581
5	94.617527	83.748382	216.462483	93.341106	25.566352	-87.341334	37.789241	16.150263	1.618236	47.171015	93.617469	54.97576	11.761273	50.516308	12.086315	76.385083	-150.241852	53.847575	35.011229	11.785393	200.369176	40.872983	111.568677	-170.790374
6	115.732285	102.470907	264.762224	100.947654	27.28733	-93.38328	46.739886	20.006912	1.922847	51.845025	100.33886	59.842518	14.352619	61.833901	14.747664	82.825011	-160.983071	57.719317	43.036626	14.447253	246.193988	44.867634	119.75379	-183.008464
7	136.922436	121.379068	313.334649	107.738806	28.646207	-98.712429	55.742029	23.869704	2.317323	55.957102	106.365441	63.265755	17.122166	73.441492	17.936484	88.657853	-170.072321	60.179077	50.994261	17.109879	291.734965	48.398186	126.768678	-193.681967
8	158.404174	140.154794	362.272403	113.815726	30.427798	-103.701697	65.10838	27.892466	2.623474	59.791464	111.970762	67.309238	19.573123	84.815149	20.126108	93.803403	-179.434976	64.343495	58.97798	19.781851	337.387108	51.589666	133.099554	-203.310021
9	191.484193	169.474677	437.730952	122.3013	32.353772	-110.393303	78.971964	33.808735	3.190003	64.810469	119.491174	71.695347	23.72075	102.411305	24.634661	100.924976	-190.689653	67.911387	71.303331	23.878666	407.907099	55.966107	141.952583	-216.654687
10	234.197527	207.300028	535.770301	131.907811	34.577788	-118.140583	97.360122	41.660637	3.898722	70.636312	128.186915	77.062229	29.033959	125.604005	30.213082	109.158155	-204.342767	72.694099	87.574994	29.163509	499.006237	60.925663	152.641463	-231.785409
11	276.055246	244.556333	631.552959	140.285119	36.336836	-124.726487	115.981655	49.673396	4.86665	75.868355	135.769136	80.535343	34.376452	148.587812	35.690146	116.368826	-216.013403	76.95493	103.705417	34.484858	590.850445	65.345613	161.660547	-245.275651
12	318.90824	282.20184	729.42332	147.924777	38.392524	-130.946915	134.536172	57.631078	5.407277	80.533245	142.627572	85.795829	39.563446	171.665076	41.144379	122.894582	-227.138134	80.86285	119.743256	39.803459	682.234591	69.329315	169.642339	-257.33827
13	361.054515	319.992985	825.362173	154.937812	39.633522	-136.246089	153.334928	65.628989	6.197032	84.806815	149.104364	89.415073	44.813666	194.342302	46.83489	128.75951	-236.66056	83.975911	135.919408	45.162489	774.448228	72.998758	177.012109	-268.469946
14	403.076729	357.454202	921.332489	161.363721	40.959583	-141.262124	172.133097	73.71158	6.853435	88.785992	154.889104	93.395555	50.076865	217.395107	51.827139	134.270793	-245.811314	87.791388	152.059747	50.58335	866.356782	76.425935	183.606498	-278.631591
15	445.855806	395.125256	1018.75576	167.387439	42.537547	-146.109168	190.793258	81.732391	7.630142	92.456618	160.237813	96.544671	55.428345	240.918648	57.651782	139.50635	-254.543419	90.627542	168.090665	55.835006	957.766806	79.519824	190.043659	-288.189328
16	487.733463	432.674065	1114.159659	173.021676	43.555877	-150.397461	209.707575	89.959039	8.341273	95.979775	165.144901	99.892149	60.816845	263.438141	63.774411	144.208003	-261.751361	92.660955	184.449568	61.238721	1050.687652	82.506909	196.088865	-297.235359
17	531.30681	471.317959	1214.800478	178.489422	44.822377	-154.900078	228.866164	98.195554	9.024042	99.298042	169.997872	103.137374	66.050932	286.531734	69.199367	148.758906	-269.402955	95.443497	200.336489	66.462807	1141.142011	85.231938	201.674838	-305.573386
18	572.32398	507.653854	1307.952719	183.36422	45.975612	-158.71833	248.677898	106.648633	9.278618	102.515846	174.843378	107.794165	71.359341	309.575721	74.736094	153.06237	-276.447433	97.961101	216.575115	71.821914	1233.755366	87.8828	207.041437	-313.654961
19	615.673447	546.248187	1407.096707	188.293552	47.031318	-162.606951	267.911843	115.031259	10.275696	105.542999	179.036289	109.67218	76.534228	332.687428	80.123037	157.168988	-283.469819	100.499176	232.470688	77.180628	1324.518955	90.404687	211.814564	-321.105799
20	656.150226	582.517031	1499.523719	192.718462	47.856706	-166.012196	287.616399	123.305819	11.326087	108.390108	183.591381	111.287354	81.805221	355.784884	85.414331	161.087193	-289.965779	102.987196	248.612441	82.505567	1416.435801	92.797539	216.672462	-328.391752
